N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"58,000","1,000",-1.69%,100,"3,462,474","5,969,783",56.15,"18,490,386",18.15,8.69,
2,SK하이닉스,"81,500","1,400",-1.69%,"5,000","593,322","728,002",48.84,"2,027,494",25.96,4.25,
3,NAVER,"298,000",500,-0.17%,100,"489,505","164,263",55.84,"638,430",69.46,10.56,
4,LG화학,"651,000","9,000",+1.40%,"5,000","459,556","70,592",38.85,"283,855",112.22,1.84,
5,삼성바이오로직스,"685,000","48,000",+7.54%,"2,500","453,230","66,165",10.02,"190,118",131.96,4.77,
6,삼성전자우,"51,800","1,100",-2.08%,100,"426,255","822,887",86.52,"2,673,575",16.21,N/A,
7,현대차,"170,000","3,500",-2.02%,"5,000","363,236","213,668",31.17,"1,197,453",24.50,4.32,
8,셀트리온,"250,500","8,000",+3.30%,"1,000","338,159","134,994",20.66,"685,877",84.49,11.19,
9,카카오,"342,000","4,500",-1.30%,500,"301,808","88,248",31.84,"392,769",-195.43,-5.81,
10,삼성SDI,"429,500",500,-0.12%,"5,000","295,344","68,765",42.17,"200,436",157.79,2.94,
11,LG생활건강,"1,515,000","9,000",-0.59%,"5,000","236,616","15,618",45.51,"18,241",34.55,20.32,
12,현대모비스,"240,500","12,000",-4.75%,"5,000","228,607","95,055",43.17,"441,187",13.10,7.28,
13,기아차,"53,000",800,-1.49%,"5,000","214,843","405,363",38.59,"2,415,111",20.18,6.50,
14,삼성물산,"110,000","3,000",-2.65%,100,"205,576","186,887",13.75,"934,636",19.22,4.77,
15,POSCO,"210,500","5,500",-2.55%,"5,000","183,528","87,187",50.83,"326,737",20.01,4.18,
16,SK텔레콤,"222,000","7,500",-3.27%,500,"179,255","80,746",34.99,"261,991",18.22,3.92,
17,엔씨소프트,"810,000","8,000",+1.00%,500,"177,828","21,954",48.65,"59,250",34.12,14.72,
18,KB금융,"41,050","1,000",-2.38%,"5,000","170,689","415,808",65.78,"1,424,406",5.37,8.92,
19,신한지주,"31,450",50,-0.16%,"5,000","162,448","516,527",54.01,"2,474,950",4.72,9.09,
20,LG전자,"87,300","2,700",-3.00%,"5,000","142,865","163,648",35.67,"632,445",35.03,0.22,
21,삼성에스디에스,"171,000","5,500",-3.12%,500,"132,316","77,378",12.14,"182,648",25.39,11.76,
22,SK,"187,500","4,500",-2.34%,200,"131,926","70,360",21.80,"167,550",-361.27,4.31,
23,한국전력,"20,350",200,-0.97%,"5,000","130,640","641,964",17.37,"1,843,065",-14.18,-3.42,
24,삼성생명,"64,000","1,800",-2.74%,500,"128,000","200,000",12.51,"699,839",14.23,3.26,
25,LG,"70,300","1,700",-2.36%,"5,000","121,308","172,557",34.73,"171,596",15.01,5.87,
26,SK바이오팜,"154,500","2,500",-1.59%,500,"120,994","78,313",2.62,"132,242",-140.45,-313.66,
27,SK이노베이션,"128,500","3,000",-2.28%,"5,000","118,818","92,466",23.65,"349,377",-5.26,-0.20,
28,KT&G,"82,200",800,-0.96%,"5,000","112,854","137,292",41.67,"246,268",10.99,12.39,
29,넷마블,"122,500","3,500",-2.78%,100,"105,157","85,843",23.09,"224,317",50.68,3.54,
30,삼성전기,"136,500","2,500",-1.80%,"5,000","101,957","74,694",33.28,"327,614",42.01,10.18,
31,아모레퍼시픽,"166,500","5,500",+3.42%,500,"97,333","58,458",29.87,"386,697",83.71,5.36,
32,하나금융지주,"30,750",650,-2.07%,"5,000","92,324","300,242",63.84,"1,620,126",3.64,8.77,
33,삼성화재,"185,500","4,500",-2.37%,500,"87,880","47,375",46.56,"76,386",14.18,4.85,
34,롯데케미칼,"241,500","5,000",-2.03%,"5,000","82,775","34,275",28.44,"272,278",46.08,5.51,
35,한화솔루션,"45,700",300,-0.65%,"5,000","73,058","159,864",19.69,"2,894,704",-44.11,-4.02,
36,고려아연,"375,000","5,500",-1.45%,"5,000","70,762","18,870",23.44,"29,691",12.86,9.76,
37,신풍제약,"131,000",0,0.00%,500,"69,410","52,985",9.80,"697,041","3,969.70",0.80,
38,현대글로비스,"176,500","1,000",+0.57%,500,"66,188","37,500",35.92,"349,384",12.03,11.25,
39,우리금융지주,"9,020",40,-0.44%,"5,000","65,149","722,268",25.81,"1,666,453",4.76,N/A,
40,한온시스템,"11,800",300,-2.48%,100,"62,988","533,800",20.67,"492,928",37.82,14.98,
41,S-Oil,"55,400","1,500",-2.64%,"2,500","62,371","112,583",73.71,"294,286",-7.62,1.01,
42,기업은행,"8,280",150,-1.78%,"5,000","61,161","738,664",10.70,"1,897,794",3.96,7.36,
43,KT,"22,650",200,-0.88%,"5,000","59,142","261,112",43.64,"685,890",9.87,4.61,
44,한국조선해양,"79,700","1,300",-1.60%,"5,000","56,406","70,773",15.53,"128,273",53.60,1.40,
45,CJ제일제당,"364,000","4,000",-1.09%,"5,000","54,797","15,054",23.54,"29,048",9.17,3.16,
46,빅히트,"160,000","1,500",+0.95%,500,"54,154","33,846",3.44,"404,090",N/A,56.47,
47,미래에셋대우,"8,360",150,-1.76%,"5,000","53,948","645,316",14.05,"1,380,734",9.95,7.56,
48,코웨이,"70,100","1,700",-2.37%,500,"51,734","73,800",61.04,"120,156",14.74,30.74,
49,LG디스플레이,"14,450",350,-2.36%,"5,000","51,704","357,816",22.31,"1,542,164",-1.78,-22.35,
50,LG유플러스,"11,300",350,-3.00%,"5,000","49,337","436,611",31.45,"976,868",9.87,6.30,
51,KODEX 200,"30,875",430,-1.37%,0,"48,736","157,850",7.25,"6,081,472",N/A,N/A,
52,강원랜드,"21,800",750,-3.33%,500,"46,639","213,940",24.06,"588,084",-229.47,9.16,
53,오리온,"116,000",500,+0.43%,500,"45,862","39,536",43.43,"115,389",17.31,14.24,
54,포스코케미칼,"74,900",700,-0.93%,500,"45,680","60,988",7.26,"140,773",88.33,11.57,
55,한진칼,"76,700","2,100",-2.66%,"2,500","45,384","59,170",17.43,"86,593",-11.81,-17.56,
56,SK케미칼,"360,000","14,000",+4.05%,"5,000","42,269","11,741",12.38,"580,952",18.52,1.51,
57,금호석유,"134,500","1,000",-0.74%,"5,000","40,979","30,468",31.35,"254,282",15.39,11.84,
58,한국타이어앤테크놀로지,"32,900",0,0.00%,500,"40,755","123,875",38.07,"298,599",13.75,6.03,
59,유한양행,"60,200",300,-0.50%,"1,000","40,248","66,857",21.01,"177,052",24.28,2.43,
60,이마트,"143,500","5,000",-3.37%,"5,000","40,002","27,876",31.53,"147,425",7.20,2.76,
61,한국금융지주,"70,800","1,500",-2.07%,"5,000","39,454","55,726",30.93,"273,124",6.70,18.14,
62,현대제철,"29,350",750,-2.49%,"5,000","39,166","133,446",19.06,"1,118,896",-14.56,0.10,
63,맥쿼리인프라,"11,150",50,-0.45%,0,"38,918","349,044",15.33,"595,051",N/A,N/A,
64,아모레G,"45,500",50,+0.11%,500,"37,518","82,458",19.82,"95,752",62.07,4.12,
65,LG이노텍,"156,500","5,500",-3.40%,"5,000","37,039","23,667",35.67,"89,913",16.20,4.73,
66,한미사이언스,"55,800","1,200",-2.11%,500,"36,834","66,011",1.82,"160,208",130.07,4.73,
67,CJ대한통운,"158,000","3,000",-1.86%,"5,000","36,044","22,812",22.07,"58,108",39.88,1.41,
68,대한항공,"20,350",450,-2.16%,"5,000","35,452","174,210",12.85,"1,395,444",-3.03,-22.09,
69,두산중공업,"14,000",200,+1.45%,"5,000","35,440","253,141",7.68,"4,292,699",-3.00,-14.73,
70,삼성카드,"30,050",250,-0.83%,"5,000","34,816","115,859",9.81,"93,361",9.29,5.04,
71,현대중공업지주,"218,500","4,500",-2.02%,"5,000","34,520","15,799",17.65,"18,271",-15.41,2.20,
72,현대건설,"30,200",700,-2.27%,"5,000","33,629","111,356",19.88,"475,112",9.99,6.30,
73,녹십자,"283,000","13,000",+4.81%,"5,000","33,073","11,687",18.27,"470,272",553.82,-0.35,
74,한미약품,"270,500","3,000",-1.10%,"2,500","32,035","11,843",13.83,"28,411",88.86,7.30,
75,DB손해보험,"45,050","1,200",-2.59%,500,"31,895","70,800",40.46,"94,722",5.89,6.92,
76,삼성중공업,"5,040",70,-1.37%,"5,000","31,752","630,000",14.85,"1,926,306",-1.74,-21.88,
77,GS,"33,900",650,-1.88%,"5,000","31,498","92,915",19.87,"203,923",-28.04,6.26,
78,에스원,"82,800",600,-0.72%,500,"31,463","37,999",55.45,"30,864",21.27,11.32,
79,HMM,"9,490",40,+0.42%,"5,000","31,006","326,726",8.11,"7,187,402",-12.17,-55.46,
80,더존비즈온,"102,500","2,000",+1.99%,500,"30,687","29,939",44.74,"80,987",63.98,18.78,
81,롯데지주,"29,000",400,-1.36%,200,"30,424","104,909",11.12,"97,033",-4.37,-5.21,
82,현대차2우B,"82,700","1,700",-2.01%,"5,000","30,173","36,485",61.56,"40,400",11.92,N/A,
83,삼성증권,"32,900",700,-2.08%,"5,000","29,380","89,300",25.77,"353,419",9.03,8.15,
84,호텔신라,"74,500","1,200",-1.59%,"5,000","29,240","39,248",20.68,"273,454",-39.40,20.16,
85,대림산업,"83,400","3,100",-3.58%,"5,000","29,023","34,800",38.42,"399,775",4.69,11.74,
86,동서,"29,100",100,+0.34%,500,"29,013","99,700",5.47,"93,786",21.09,10.53,
87,두산밥캣,"28,200","1,200",-4.08%,500,"28,270","100,249",21.22,"450,512",15.44,7.05,
88,쌍용양회,"5,580",70,-1.24%,"1,000","28,115","503,860",2.87,"448,172",21.06,7.02,
89,SKC,"73,500",400,-0.54%,"5,000","27,588","37,535",8.68,"144,205",26.63,3.86,
90,NH투자증권,"9,790",130,-1.31%,"5,000","27,550","281,409",14.32,"1,006,402",6.41,9.12,
91,한국가스공사,"28,200",700,-2.42%,"5,000","26,032","92,313",8.69,"423,640",-5.83,0.48,
92,GS리테일,"32,850","1,100",-3.24%,"1,000","25,294","77,000",15.82,"336,285",15.15,6.25,
93,LG화학우,"322,000",500,+0.16%,"5,000","24,758","7,689",57.71,"15,508",55.51,N/A,
94,KODEX 200선물인버스2X,"4,220",120,+2.93%,0,"24,370","577,500",1.52,"168,554,083",N/A,N/A,
95,휠라홀딩스,"39,900","1,450",-3.51%,"1,000","24,240","60,752",45.52,"291,788",12.07,23.81,
96,롯데쇼핑,"85,000","3,500",-3.95%,"5,000","24,045","28,289",11.47,"114,780",-1.77,-8.14,
97,두산퓨얼셀,"42,850",50,-0.12%,100,"23,779","55,494",10.92,"759,969",66.54,N/A,
98,하이트진로,"33,850",650,-1.88%,"5,000","23,740","70,134",10.66,"203,157",34.97,-3.86,
99,제일기획,"20,600",50,-0.24%,200,"23,698","115,041",31.15,"121,487",18.43,15.09,
100,한샘,"100,500",700,+0.70%,"1,000","23,652","23,534",23.35,"32,763",45.23,7.32,
101,대우조선해양,"21,900",400,-1.79%,"5,000","23,478","107,206",8.96,"169,934",-25.26,-1.22,
102,TIGER 200,"30,850",445,-1.42%,0,"23,245","75,350",1.87,"1,218,523",N/A,N/A,
103,키움증권,"104,000","3,500",-3.26%,"5,000","23,003","22,119",25.28,"32,468",6.97,16.97,
104,메리츠증권,"3,355",50,-1.47%,"1,000","22,679","675,962",12.67,"1,485,481",4.57,15.06,
105,CJ,"77,400","1,400",-1.78%,"5,000","22,583","29,177",18.80,"49,051",15.04,6.24,
106,GS건설,"27,300","1,250",-4.38%,"5,000","21,867","80,098",27.67,"405,995",5.73,11.79,
107,현대해상,"24,400",400,-1.61%,500,"21,814","89,400",41.07,"184,427",7.17,6.23,
108,한국항공우주,"22,150",300,-1.34%,"5,000","21,591","97,475",14.32,"219,704",13.82,15.84,
109,BGF리테일,"122,500","2,000",-1.61%,"1,000","21,173","17,284",31.15,"16,057",16.35,26.46,
110,KODEX 레버리지,"14,520",425,-2.84%,0,"21,141","145,600",2.77,"56,333,087",N/A,N/A,
111,신세계,"210,500","2,500",-1.17%,"5,000","20,724","9,845",25.80,"52,728",-7.76,14.24,
112,삼성엔지니어링,"10,450",200,-1.88%,"5,000","20,482","196,000",28.81,"820,623",7.92,24.62,
113,KODEX 단기채권,"102,550",5,0.00%,0,"20,419","19,911",3.01,"4,298",N/A,N/A,
114,오뚜기,"549,000","6,000",-1.08%,"5,000","20,159","3,672",17.11,"2,372",15.68,7.79,
115,팬오션,"3,705",120,-3.14%,"1,000","19,806","534,569",11.77,"1,754,598",13.42,5.49,
116,일진머티리얼즈,"42,300",250,-0.59%,500,"19,505","46,111",7.80,"188,598",38.28,8.52,
117,현대차우,"80,000","1,600",-1.96%,"5,000","19,485","24,357",54.83,"53,300",11.53,N/A,
118,한화,"25,050",450,-1.76%,"5,000","18,777","74,959",19.04,"225,100",13.12,2.09,
119,BNK금융지주,"5,620",140,-2.43%,"5,000","18,318","325,935",46.72,"788,338",3.51,7.07,
120,두산인프라코어,"8,400",190,-2.21%,"5,000","18,010","214,400",3.42,"1,659,089",12.75,11.59,
121,씨에스윈드,"103,500",500,-0.48%,500,"17,891","17,286",8.71,"206,887",42.37,9.92,
122,농심,"287,500","2,000",-0.69%,"5,000","17,488","6,083",19.24,"13,688",14.30,3.72,
123,LS,"54,100","1,800",-3.22%,"5,000","17,420","32,200",11.75,"181,964",-40.04,0.80,
124,만도,"36,750",400,+1.10%,"1,000","17,257","46,957",21.28,"821,572",-41.67,7.55,
125,종근당,"157,000",500,+0.32%,"2,500","17,091","10,886",14.02,"36,323",22.52,11.94,
126,포스코인터내셔널,"13,500",300,-2.17%,"5,000","16,656","123,375",15.56,"206,387",9.29,7.06,
127,메리츠화재,"14,600",300,-2.01%,500,"16,597","113,680",11.40,"216,874",4.72,12.80,
128,현대로템,"15,100",200,-1.31%,"5,000","16,480","109,142",3.47,"606,251",-4.53,-37.93,
129,한솔케미칼,"144,000","1,000",-0.69%,"5,000","16,265","11,295",33.95,"30,460",15.65,20.88,
130,부광약품,"24,850",300,+1.22%,500,"16,112","64,838",7.50,"409,750",577.91,-2.00,
131,OCI,"67,300","2,000",+3.06%,"5,000","16,051","23,849",17.20,"937,884",-1.98,-26.20,
132,효성,"74,800","1,300",-1.71%,"5,000","15,761","21,071",5.57,"45,888",57.72,4.25,
133,KODEX 삼성그룹,"7,545",65,-0.85%,0,"15,392","204,000",0.02,"276,688",N/A,N/A,
134,LS ELECTRIC,"51,000","1,600",-3.04%,"5,000","15,300","30,000",13.63,"139,064",15.74,7.82,
135,현대엘리베이,"37,300",850,-2.23%,"5,000","15,224","40,815",23.98,"184,015",25.78,5.22,
136,한올바이오파마,"28,300",700,-2.41%,500,"14,784","52,241",6.49,"223,157",68.86,14.90,
137,LG생활건강우,"700,000","6,000",-0.85%,"5,000","14,698","2,100",86.83,"4,101",15.96,N/A,
138,DB하이텍,"32,850",200,+0.61%,"5,000","14,585","44,399",29.41,"327,456",9.00,17.40,
139,한국테크놀로지그룹,"15,550",450,-2.81%,500,"14,465","93,020",6.27,"360,604",11.51,4.71,
140,KODEX 종합채권(AA-이상)액티브,"110,720",5,0.00%,0,"14,423","13,027",0.00,"3,066",N/A,N/A,
141,대웅,"24,550",600,+2.51%,500,"14,274","58,142",7.77,"201,828",30.69,10.43,
142,현대오토에버,"67,600",900,+1.35%,500,"14,196","21,000",1.37,"101,756",24.68,11.71,
143,현대백화점,"60,600","1,800",-2.88%,"5,000","14,182","23,402",15.81,"184,654",11.21,4.64,
144,F&F,"91,800","4,000",-4.18%,500,"14,137","15,400",11.71,"40,459",13.75,25.13,
145,NHN,"70,700",900,-1.26%,500,"13,832","19,565",11.24,"32,642",53.85,0.78,
146,KCC,"155,500","4,500",-2.81%,"5,000","13,818","8,886",12.06,"45,004",-656.12,-4.37,
147,일양약품,"72,100",100,+0.14%,"2,500","13,761","19,086",8.10,"198,061",148.35,5.20,
148,한화생명,"1,565",25,-1.57%,"5,000","13,592","868,530",7.52,"4,222,133",8.07,0.51,
149,영진약품,"7,370",20,+0.27%,500,"13,479","182,893",5.24,"1,032,986",566.92,4.43,
150,HDC현대산업개발,"20,050",0,0.00%,"5,000","13,214","65,907",8.22,"227,112",2.84,20.30,
151,TIGER 단기통안채,"100,730",15,+0.01%,0,"13,177","13,082",5.56,"1,999",N/A,N/A,
152,영원무역,"29,200","1,500",-4.89%,500,"12,939","44,311",22.96,"144,536",9.19,9.82,
153,지누스,"89,500","7,500",+9.15%,500,"12,894","14,407",19.33,"599,558",16.29,26.32,
154,한화에어로스페이스,"25,450",700,-2.68%,"5,000","12,885","50,630",16.38,"219,389",12.03,5.45,
155,롯데정밀화학,"49,350",950,-1.89%,"5,000","12,732","25,800",23.72,"72,075",6.51,11.73,
156,대한유화,"195,000","1,000",+0.52%,"5,000","12,675","6,500",13.82,"48,661",15.11,6.11,
157,메리츠금융지주,"9,420",170,-1.77%,500,"12,624","134,011",8.06,"33,214",3.12,15.26,
158,한전KPS,"27,700",500,-1.77%,200,"12,465","45,000",12.93,"152,807",7.84,14.98,
159,대우건설,"2,990",80,-2.61%,"5,000","12,427","415,623",9.15,"1,457,495",6.76,8.80,
160,진원생명과학,"27,700","2,650",+10.58%,"1,000","12,393","44,740",11.41,"14,003,261",-94.54,-28.50,
161,SK디스커버리,"64,800",600,-0.92%,"5,000","12,337","19,038",10.60,"112,792",5.04,11.52,
162,현대위아,"44,300",550,-1.23%,"5,000","12,047","27,195",11.27,"301,228",19.11,1.80,
163,아이에스동서,"38,500",800,-2.04%,500,"11,894","30,893",5.21,"80,312",20.36,6.10,
164,한화시스템,"10,700",150,-1.38%,"5,000","11,795","110,230",1.69,"192,393",15.16,8.15,
165,KODEX 인버스,"5,500",80,+1.48%,0,"11,666","212,100",1.48,"31,363,576",N/A,N/A,
166,더블유게임즈,"63,100","2,400",-3.66%,500,"11,594","18,375",16.08,"121,322",10.99,18.93,
167,현대미포조선,"28,800",850,-2.87%,"5,000","11,503","39,942",12.35,"137,069",19.25,2.31,
168,이노션,"57,500","2,300",-3.85%,500,"11,500","20,000",28.89,"64,060",17.21,9.88,
169,KODEX 200TR,"9,910",150,-1.49%,0,"11,342","114,450",20.18,"99,946",N/A,N/A,
170,코스맥스,"112,000",500,-0.44%,500,"11,255","10,050",27.01,"45,660",29.20,10.45,
171,SK네트웍스,"4,520",25,-0.55%,"2,500","11,218","248,188",11.64,"296,220",-38.31,-5.85,
172,KODEX 코스닥150 레버리지,"11,280",230,+2.08%,0,"11,021","97,700",1.66,"41,613,856",N/A,N/A,
173,DGB금융지주,"6,450",220,-3.30%,"5,000","10,910","169,146",46.82,"886,532",3.51,7.31,
174,대웅제약,"92,600",300,-0.32%,"2,500","10,729","11,587",4.65,"24,770",-432.71,4.34,
175,금호타이어,"3,680",15,-0.41%,"5,000","10,571","287,260",4.17,"464,629",-7.56,-3.30,
176,녹십자홀딩스,"22,200",200,-0.89%,500,"10,440","47,028",6.49,"177,275",31.53,0.37,
